source_path,target_path,source_symbol,target_symbol,reason,status
source/lib/main.dart,entry/src/main/cangjie/index.cj,MyApp,LoginWindow,Phase 1 application entry and login/session shell,IN_PROGRESS
source/lib/page/login/login_window.dart,entry/src/main/cangjie/index.cj,LoginWindow,LoginWindow,Input validation visibility loading errors and clear-data action,IN_PROGRESS
source/lib/page/login/jc_captcha.dart,entry/src/main/cangjie/index.cj,CaptchaWidget,LoginWindow slider fallback,Manual Down Move Up trajectory fallback,IN_PROGRESS
source/lib/repository/xidian_ids/slider_captcha_client.dart,entry/src/main/cangjie/repository/ids_session.cj,SliderCaptchaClientProvider,IDSSession,HTTPS captcha retrieval AES payload and verify request; image auto solver not yet ported,BLOCKED_EXTERNAL
source/lib/repository/xidian_ids/ids_session.dart,entry/src/main/cangjie/repository/ids_session.cj,IDSSession,IDSSession,Dynamic hidden fields AES login post cookies and redirect detection,IN_PROGRESS
source/lib/repository/xidian_ids/ehall_session.dart,entry/src/main/cangjie/repository/ids_session.cj,EhallSession,EhallSession,Landing target and IDS redirect entry; end-to-end redirect needs successful IDS verification,BLOCKED_EXTERNAL
source/lib/page/home/home_page.dart,entry/src/main/cangjie/index.cj,HomePage,HomePage,Five navigation authenticated shell,IN_PROGRESS
source/lib/page/settings/,entry/src/main/cangjie/index.cj,Settings,SettingWindow,Language theme persistence and sign-out entry,IN_PROGRESS
source/lib/controller/classtable_controller.dart,entry/src/main/cangjie/classtable_page.cj,ClassTableController,ClassTablePage,Real Ehall timetable refresh state and day-scoped scroll layout,BLOCKED_EXTERNAL
source/lib/model/xidian_ids/classtable.dart,entry/src/main/cangjie/model/xidian_ids/academic.cj,ClassTableData/CourseSlot,CourseSlot,Course arrangement transport model for Ehall xskcb rows,IN_PROGRESS
source/lib/repository/xidian_ids/classtable_session.dart,entry/src/main/cangjie/repository/xidian_ids/academic_session.cj,ClassTableSession,AcademicSession.loadClassTable,Real Ehall xskcb HTTP JSON request with authenticated session gate,BLOCKED_EXTERNAL
source/lib/controller/semester_controller.dart,entry/src/main/cangjie/academic_pages.cj,SemesterController,ScorePage/ExamPage semester inputs,Semester input for authenticated academic fetches,IN_PROGRESS
source/lib/model/xidian_ids/score.dart,entry/src/main/cangjie/model/xidian_ids/academic.cj,Score,ScoreItem,Score transport and visible fields,IN_PROGRESS
source/lib/repository/xidian_ids/score_session.dart,entry/src/main/cangjie/repository/xidian_ids/academic_session.cj,ScoreSession,AcademicSession.loadScores,Real Ehall cjcx request and JSON parsing,BLOCKED_EXTERNAL
source/lib/model/xidian_ids/exam.dart,entry/src/main/cangjie/model/xidian_ids/academic.cj,ExamData/Subject,ExamItem,Exam transport and visible fields,IN_PROGRESS
source/lib/repository/xidian_ids/exam_session.dart,entry/src/main/cangjie/repository/xidian_ids/academic_session.cj,ExamSession,AcademicSession.loadExams,Real Ehall wdksap request and JSON parsing,BLOCKED_EXTERNAL
source/lib/page/classtable/,entry/src/main/cangjie/classtable_page.cj,ClassTablePage,ClassTablePage,Refresh empty error day selection and scroll list,IN_PROGRESS
source/lib/page/score/,entry/src/main/cangjie/academic_pages.cj,ScorePage,ScorePage,Refresh empty error and scroll list,IN_PROGRESS
source/lib/model/xidian_ids/exam.dart,entry/src/main/cangjie/model/xidian_ids/exam.cj,Subject,ExamItem,Arranged state course id and parsed start time,IN_PROGRESS
source/lib/controller/exam_controller.dart,entry/src/main/cangjie/controller/exam_controller.cj,ExamController,ExamController,Refresh guard three-way grouping and time ordering,IN_PROGRESS
source/lib/repository/xidian_ids/exam_session.dart,entry/src/main/cangjie/repository/xidian_ids/academic_session.cj,ExamSession,AcademicSession,Real arranged and unarranged Ehall request chain,IN_PROGRESS
source/lib/model/xidian_ids/empty_classroom.dart,entry/src/main/cangjie/model/xidian_ids/empty_classroom.cj,EmptyClassroomPlace/EmptyClassroomData,EmptyClassroomPlace/EmptyClassroomData,Teaching building and 11-period occupancy model,IN_PROGRESS
source/lib/repository/xidian_ids/empty_classroom_session.dart,entry/src/main/cangjie/repository/xidian_ids/empty_classroom_session.cj,EmptyClassroomSession,EmptyClassroomSession,Real three-request Ehall classroom chain,IN_PROGRESS
source/lib/page/empty_classroom/,entry/src/main/cangjie/empty_classroom_page.cj,EmptyClassroomWindow/EmptyClassroomSearchWindow,EmptyClassroomPage,Building date semester name filter and period matrix,IN_PROGRESS
source/lib/page/toolbox/toolbox_page.dart,entry/src/main/cangjie/toolbox_page.cj,ToolBoxPage,ToolboxPage,Seven ArkWeb entries load state and back navigation,IN_PROGRESS
source/lib/model/toolbox_addresses.dart,entry/src/main/cangjie/toolbox_page.cj,WebViewAddresses,ToolboxPage constants,Source URL mapping retained inline,IN_PROGRESS
source/lib/page/exam/,entry/src/main/cangjie/academic_pages.cj,ExamInfoWindow,ExamPage,Refresh empty error and scroll list,IN_PROGRESS
